word, attempts, failed, match loop, required loop, allowed loop
often, 7140, 48, 1912882, 104935, 5119516
crowd, 7183, 48, 1828642, 118069, 4746033
smoke, 7191, 48, 1511819, 90671, 4056216
glyph, 7255, 48, 1867283, 113349, 4971128
shaky, 7273, 48, 1604827, 69746, 4029376
chump, 7295, 48, 1748941, 150267, 4585321
comfy, 7301, 48, 1859885, 119993, 4823514
panel, 6766, 49, 1813332, 66405, 4478183
petal, 6798, 49, 1728676, 64106, 4275189
stole, 6806, 49, 1452938, 59357, 3755388
spire, 6862, 49, 1440080, 74138, 3813385
spare, 6879, 49, 1417318, 64810, 3673297
score, 6922, 49, 1385761, 74912, 3696766
basil, 6926, 49, 1520818, 85525, 3882564
sprig, 6934, 49, 1484404, 108365, 3953956
caput, 6965, 49, 1712463, 86010, 4335696
cramp, 6968, 49, 1686159, 86688, 4237146
comet, 6971, 49, 1657837, 73968, 4209889
impel, 6972, 49, 1856496, 106189, 4958051
pecan, 6989, 49, 1743207, 73625, 4341300
psalm, 7001, 49, 1580292, 130627, 4254639
fable, 7032, 49, 1867158, 91957, 4762640
shade, 7037, 49, 1497956, 60478, 3754745
marsh, 7043, 49, 1622972, 107861, 4175197
prong, 7050, 49, 1832387, 95862, 4601649
elbow, 7090, 49, 1852039, 132348, 4809943
prude, 7124, 49, 1810427, 86943, 4609560
beset, 7159, 49, 1473171, 74999, 3869787
bench, 7165, 49, 1718501, 95549, 4399082
sally, 7217, 49, 1667479, 72584, 4143915
sleep, 7240, 49, 1472235, 82611, 3897063
shock, 7251, 49, 1499021, 113510, 3937381
blaze, 7253, 49, 1731144, 58646, 4314873
black, 7260, 49, 1799831, 87830, 4603074
rebel, 7279, 49, 1830665, 96984, 4772709
spoon, 7331, 49, 1605600, 129151, 4268259
slate, 6659, 50, 1492839, 50703, 3733984
scale, 6796, 50, 1464599, 72912, 3806615
scare, 6813, 50, 1405576, 60481, 3625865
actor, 6825, 50, 1718276, 74971, 4323302
snipe, 6837, 50, 1468523, 82546, 3925369
scent, 6839, 50, 1348501, 73677, 3695909
octal, 6864, 50, 1793023, 88941, 4605314
snarl, 6878, 50, 1551296, 62067, 3880436
sloth, 6886, 50, 1568729, 87635, 4039493
taper, 6887, 50, 1734129, 76324, 4418739
cadet, 6894, 50, 1650133, 60759, 4159895
olden, 6900, 50, 2016311, 77829, 5086833
spice, 6920, 50, 1334956, 75789, 3599904
worst, 6970, 50, 1658318, 93694, 4230534
shaft, 6971, 50, 1500972, 103904, 3953127
tuber, 6979, 50, 1781191, 113223, 4754195
stake, 7018, 50, 1463689, 62746, 3765108
stump, 7067, 50, 1418871, 137199, 3853149
crime, 7068, 50, 1726970, 74033, 4388605
stave, 7071, 50, 1458183, 64764, 3744275
pitch, 7089, 50, 1706921, 115622, 4508262
stack, 7089, 50, 1440653, 74148, 3777311
flash, 7095, 50, 1655251, 96165, 4231245
crimp, 7109, 50, 1700123, 97851, 4335254
safer, 7110, 50, 1558783, 93049, 4029876
shawl, 7128, 50, 1630967, 91221, 4079179
mouse, 7159, 50, 1750849, 84277, 4507810
speck, 7256, 50, 1339133, 97564, 3707321
clump, 7260, 50, 1753863, 119002, 4549861
bevel, 7286, 50, 1747188, 66959, 4407359
whelp, 7315, 50, 1836773, 106677, 4764725
snoop, 7349, 50, 1561647, 123048, 4079633
empty, 7368, 50, 1743001, 93572, 4880995
scoop, 7422, 50, 1432723, 145737, 3905225
stale, 6674, 51, 1453375, 57646, 3711807
siren, 6805, 51, 1606172, 71267, 4071651
since, 6832, 51, 1458902, 61339, 3741237
smart, 6838, 51, 1444675, 73920, 3792454
