word, attempts, failed, match loop, required loop, allowed loop
chest, 6968, 48, 1893720, 150837, 5405153
chirp, 6973, 48, 1799978, 153533, 4850127
stark, 6979, 48, 1471224, 92097, 3912961
shine, 7001, 48, 1524252, 82131, 4016646
unset, 7007, 48, 2148949, 167832, 6111109
swirl, 7023, 48, 1523215, 110447, 4077687
shard, 7025, 48, 1405202, 73772, 3609741
fault, 7029, 48, 1814344, 93913, 4583814
palsy, 7040, 48, 1797125, 169959, 4950155
scrum, 7087, 48, 1371823, 139251, 3778751
cause, 7100, 48, 1833387, 89344, 4686278
spark, 7119, 48, 1448777, 111252, 3862034
shift, 7145, 48, 1351526, 103739, 3676208
punch, 7154, 48, 1639857, 137781, 4461979
sinew, 7158, 48, 1569758, 107851, 4172960
bleep, 7177, 48, 1751540, 87744, 4687462
gland, 7180, 48, 1550784, 69513, 3955426
amuse, 7188, 48, 1859460, 112413, 4943404
frisk, 7204, 48, 1865591, 177042, 5169234
bless, 7314, 48, 1821504, 145559, 5000442
whelp, 7336, 48, 1823461, 138021, 4961082
scoop, 7497, 48, 1363580, 136126, 3763186
siren, 6768, 49, 1674611, 77827, 4346221
plate, 6769, 49, 1812434, 79309, 4756003
blend, 6900, 49, 1671220, 68008, 4311532
posit, 6910, 49, 1917560, 156009, 5240406
stand, 6938, 49, 1376153, 88020, 3733865
shear, 6946, 49, 1573437, 83483, 4038317
adept, 6953, 49, 1843937, 136481, 4996539
blink, 6993, 49, 1815109, 85832, 4647742
solid, 7018, 49, 1537260, 82070, 3864512
retch, 7033, 49, 1846137, 141584, 4989057
comet, 7035, 49, 1810375, 92636, 4799591
upset, 7051, 49, 2007413, 181995, 5833782
stomp, 7075, 49, 1428565, 150787, 4106065
grunt, 7099, 49, 1944278, 106231, 5068836
swear, 7107, 49, 1524601, 91091, 4019949
chose, 7115, 49, 1851248, 127478, 5049994
optic, 7123, 49, 1776979, 134637, 4806371
marsh, 7134, 49, 1905029, 176054, 5072615
fecal, 7139, 49, 1527548, 56710, 3833035
spawn, 7150, 49, 1417370, 140547, 3924253
gamut, 7165, 49, 1864409, 115147, 4837163
stung, 7166, 49, 1445667, 119228, 3982945
swine, 7176, 49, 1500340, 101740, 4147209
ghost, 7183, 49, 1873374, 139536, 5096118
scuba, 7199, 49, 1117176, 72099, 2906675
shown, 7223, 49, 1493409, 143445, 4072509
thumb, 7226, 49, 1463434, 123371, 3847894
witch, 7241, 49, 1758322, 132706, 4763450
shawl, 7243, 49, 1442158, 88703, 3697538
taste, 7342, 49, 1894326, 116098, 5069735
steep, 7379, 49, 1508009, 119587, 4315338
whisk, 7383, 49, 1874449, 168006, 5125066
speed, 7413, 49, 1318584, 94637, 3717348
sweep, 7659, 49, 1450833, 129272, 4196454
salon, 6700, 50, 1523373, 72117, 3753510
snort, 6750, 50, 1632551, 110583, 4399990
