word, attempts, failed, match loop, required loop, allowed loop
spoon, 7421, 47, 5519220, 134469, 8158452
shirt, 6856, 48, 5183259, 113003, 7978400
trend, 6862, 48, 4809743, 83944, 7657473
flirt, 6878, 48, 4580275, 92377, 7495911
built, 6888, 48, 4736006, 79628, 7670125
since, 6890, 48, 5347118, 71246, 7708789
flint, 6911, 48, 4581699, 85775, 7513405
baste, 6926, 48, 5575817, 116574, 8724146
super, 6948, 48, 5207804, 114504, 7874728
adopt, 6959, 48, 5162697, 154821, 8155453
chest, 6968, 48, 5187012, 149919, 8684381
chirp, 6973, 48, 4879181, 152870, 7921072
stark, 6979, 48, 5456573, 92097, 7898310
shine, 7001, 48, 5235074, 82131, 7727468
unset, 7007, 48, 4835456, 167781, 8793181
swirl, 7023, 48, 5284397, 110447, 7838869
shard, 7025, 48, 5558175, 73772, 7762714
fault, 7029, 48, 5088252, 93862, 7851198
palsy, 7040, 48, 5387310, 169959, 8540340
scrum, 7087, 48, 5510313, 138401, 7907098
cause, 7100, 48, 5529674, 89327, 8379711
spark, 7119, 48, 5512243, 111252, 7925500
shift, 7145, 48, 5502340, 103739, 7827022
punch, 7154, 48, 4926266, 137033, 7739008
sinew, 7158, 48, 5364432, 107443, 7962043
bleep, 7177, 48, 4832717, 87285, 7762047
gland, 7180, 48, 5150299, 69513, 7554941
amuse, 7188, 48, 5382046, 112090, 8461523
frisk, 7204, 48, 4969933, 176991, 8268038
bless, 7314, 48, 5248087, 145100, 8423678
whelp, 7336, 48, 4938258, 136542, 8066212
scoop, 7497, 48, 5722298, 135548, 8115888
siren, 6768, 49, 5079725, 77453, 7741736
plate, 6769, 49, 4880632, 79292, 7820259
blend, 6900, 49, 4763216, 67651, 7388253
posit, 6910, 49, 5080548, 155312, 8392486
stand, 6938, 49, 5526748, 88020, 7884460
shear, 6946, 49, 5432453, 83483, 7897333
adept, 6953, 49, 5095497, 136481, 8248099
blink, 6993, 49, 4693222, 85781, 7518719
solid, 7018, 49, 5373646, 81815, 7681754
retch, 7033, 49, 5065036, 141550, 8205204
comet, 7035, 49, 4963267, 91650, 7941063
upset, 7051, 49, 4937872, 181995, 8764241
stomp, 7075, 49, 5376062, 149750, 8042161
grunt, 7099, 49, 4691985, 106044, 7809781
swear, 7107, 49, 5536803, 91091, 8032151
chose, 7115, 49, 5201293, 127478, 8400039
optic, 7123, 49, 4840682, 134433, 7861221
marsh, 7134, 49, 5265455, 175001, 8422410
fecal, 7139, 49, 5282877, 56676, 7585578
spawn, 7150, 49, 5670174, 140530, 8173268
gamut, 7165, 49, 5147326, 115113, 8111907
stung, 7166, 49, 5358049, 118633, 7884062
swine, 7176, 49, 5338438, 101740, 7985307
ghost, 7183, 49, 5181484, 139536, 8404228
scuba, 7199, 49, 6292361, 72099, 8081860
shown, 7223, 49, 5415579, 142986, 7988918
thumb, 7226, 49, 5092052, 123337, 7473777
witch, 7241, 49, 5046729, 132570, 8047082
shawl, 7243, 49, 5645164, 88703, 7900544
taste, 7342, 49, 5750266, 116064, 8918471
steep, 7379, 49, 5502779, 119570, 8305624
whisk, 7383, 49, 5096563, 168006, 8347180
speed, 7413, 49, 5561402, 94637, 7960166
sweep, 7659, 49, 5706253, 129272, 8451874
salon, 6700, 50, 5323146, 71675, 7538741
snort, 6750, 50, 5062033, 110260, 7820279
borne, 6851, 50, 4677370, 69652, 7607848
stern, 6872, 50, 5068140, 101938, 7884544
short, 6879, 50, 5168290, 113958, 7874465
clasp, 6881, 50, 5363914, 163557, 8350273
scalp, 6895, 50, 5574941, 107312, 7716954
satyr, 6913, 50, 5530359, 90581, 8120428
shire, 6937, 50, 5175427, 90187, 7799220
angst, 6952, 50, 5265111, 176339, 8660214
trope, 6957, 50, 4826689, 114855, 7947558
clash, 6973, 50, 5411127, 139749, 8283726
stamp, 6983, 50, 5501830, 141156, 8032102
cloth, 6985, 50, 4830952, 111273, 7814259
sonic, 6988, 50, 5459813, 86568, 7744273
purse, 7005, 50, 4994345, 155613, 8345136
porch, 7033, 50, 5011572, 139142, 7822033
slack, 7040, 50, 5653218, 70167, 7611571
debit, 7045, 50, 4992417, 84902, 7820386
sepia, 7046, 50, 5640252, 81292, 7878664
sauce, 7051, 50, 5819538, 59563, 7938223
trunk, 7061, 50, 4833056, 92051, 7762685
chase, 7075, 50, 5473112, 93071, 8327553
blown, 7076, 50, 4815635, 121980, 7746363
rebus, 7093, 50, 5093464, 139800, 8020476
smirk, 7117, 50, 5188255, 107395, 7603937
guest, 7155, 50, 5158542, 142155, 8713094
shark, 7192, 50, 5493892, 79096, 7786773
gripe, 7194, 50, 4720168, 93524, 7582269
solve, 7201, 50, 5370201, 85606, 7847523
scamp, 7202, 50, 5760421, 129859, 7955909
slimy, 7204, 50, 5356801, 84203, 7762825
amply, 7214, 50, 5100878, 113408, 7942831
black, 7227, 50, 5776849, 69362, 8051432
still, 7246, 50, 5441249, 84976, 7914155
block, 7278, 50, 5145236, 83092, 7606570
crumb, 7302, 50, 5115779, 98241, 7359339
asset, 7342, 50, 5565410, 182535, 9128903
alert, 6635, 51, 4896314, 102778, 8122954
crest, 6741, 51, 5051134, 165060, 8704860
talon, 6773, 51, 5073783, 79809, 7803118
leapt, 6792, 51, 4901441, 99732, 7997448
pleat, 6799, 51, 4898049, 92342, 7878439
salty, 6819, 51, 5414946, 79312, 7886552
point, 6856, 51, 4659813, 96331, 7722236
pearl, 6860, 51, 4981681, 66820, 7717457
aloft, 6867, 51, 5033089, 120421, 7721730
tribe, 6911, 51, 4915999, 75343, 7543300
spore, 6923, 51, 5172029, 116715, 7930425
place, 6923, 51, 5204487, 68211, 7688365
twirl, 6934, 51, 4748240, 112829, 7683396
skirt, 6934, 51, 5138220, 107864, 7877717
aptly, 6956, 51, 5009196, 113949, 8173843
facet, 6970, 51, 5216055, 68978, 7757875
shunt, 6981, 51, 5363777, 116168, 8044390
foist, 6982, 51, 4980002, 133131, 8109798
smear, 6984, 51, 5421629, 82929, 7827051
bulge, 6984, 51, 4773055, 81266, 7471149
stoke, 6999, 51, 5192955, 98967, 7919729
sadly, 7009, 51, 5660281, 65531, 7843981
scaly, 7010, 51, 5617835, 66583, 7723471
straw, 7013, 51, 5499543, 123653, 8093483
party, 7022, 51, 5053524, 102381, 8159593
prick, 7040, 51, 4927653, 97942, 7558867
pinch, 7043, 51, 4895812, 123103, 7622030
grape, 7051, 51, 5049029, 78296, 7792726
sweat, 7056, 51, 5548690, 115251, 8203551
sworn, 7057, 51, 5233971, 121597, 7888565
sprig, 7066, 51, 5338573, 131721, 7887298
beach, 7102, 51, 5779428, 68796, 8093083
clink, 7103, 51, 4828808, 92600, 7636794
snake, 7109, 51, 5504675, 63627, 7822238
unmet, 7118, 51, 4628232, 105910, 8119309
shame, 7127, 51, 5591634, 74984, 7864935
tempo, 7138, 51, 5039337, 136105, 7931522
match, 7154, 51, 5292580, 116336, 7971693
sumac, 7166, 51, 5834282, 84887, 7872589
spicy, 7181, 51, 5497659, 102815, 8003527
spoke, 7203, 51, 5285355, 113484, 7939726
chasm, 7221, 51, 5565851, 144063, 8339316
roost, 7224, 51, 5268689, 170164, 8771056
sleep, 7250, 51, 5356868, 108271, 7947268
smack, 7322, 51, 5789366, 80216, 7783991
small, 7346, 51, 5722907, 71554, 7853354
slosh, 7537, 51, 5645727, 80195, 7831302
trace, 6813, 52, 5243889, 64113, 7784271
inlet, 6885, 52, 4556616, 107984, 8135872
drape, 6891, 52, 4955072, 80429, 7783382
atone, 6894, 52, 5012306, 78746, 8006582
snore, 6895, 52, 5136226, 95851, 7869673
tuber, 6949, 52, 4914033, 71073, 7525493
